row_idx,OBP,Ki_pred_uM,Ki_lower_uM,T_max,sigma_log,n_donors,decision,c1
4,AaegOBP22,2.6399999999999983,2.6399999999999983,0.30434781312942505,0.0,1,exploratory,0.304
12,AaegOBP22,3.5649880371185847,2.9783681410686205,0.5185185074806213,0.07807969916129176,2,confident,0.478
54,AaegOBP22,3.3856692130316235,2.7746745221514404,0.46875,0.08643247799672407,2,exploratory,0.428
93,AaegOBP22,3.6800000000000037,3.6800000000000037,0.38235294818878174,0.0,1,exploratory,0.382
106,AaegOBP22,2.6399999999999983,2.6399999999999983,0.30434781312942505,0.0,1,exploratory,0.304
114,AaegOBP22,3.385669237194238,2.774674546409023,0.4054054021835327,0.08643247729934929,2,exploratory,0.37
115,AaegOBP22,3.3856692130316235,2.7746745221514404,0.46875,0.08643247799672407,2,exploratory,0.428
125,AaegOBP22,3.6800000000000037,3.6800000000000037,0.3333333432674408,0.0,1,exploratory,0.333
126,AaegOBP22,3.411315483435156,2.800868260403675,0.4642857015132904,0.08562920330681804,2,exploratory,0.425
134,AaegOBP22,3.6800000000000037,3.6800000000000037,0.4615384638309479,0.0,1,exploratory,0.462
146,AaegOBP22,3.970000000000001,3.970000000000001,0.3333333432674408,0.0,1,exploratory,0.333
147,AaegOBP22,3.168818532677465,2.586982822537299,0.4444444477558136,0.08810382432523568,2,exploratory,0.405
164,AaegOBP22,3.970000000000001,3.970000000000001,0.625,0.0,1,confident,0.625
165,AaegOBP22,3.3974867852257478,2.7866328573032737,0.5,0.08607802259823016,2,confident,0.457
166,AaegOBP22,3.6800000000000037,3.6800000000000037,0.38235294818878174,0.0,1,exploratory,0.382
177,AaegOBP22,3.6800000000000037,3.6800000000000037,0.4324324429035187,0.0,1,exploratory,0.432
188,AaegOBP22,3.385669204542055,2.7746745136285047,0.5769230723381042,0.08643247824174762,2,confident,0.527
189,AaegOBP22,3.5716909862120474,2.9870127187841002,0.6086956262588501,0.07763680592122306,2,confident,0.561
203,AaegOBP22,3.6800000000000037,3.6800000000000037,0.65625,0.0,1,confident,0.656
205,AaegOBP22,3.3856692032359708,2.7746745123172856,0.5,0.08643247827944353,2,confident,0.457
207,AaegOBP22,2.94107608382151,2.4566071309486235,0.5,0.07817055141466943,2,confident,0.461
212,AaegOBP22,3.142688883138463,2.5683351553939695,0.5789473652839661,0.08764969284474598,2,confident,0.528
225,AaegOBP22,2.6399999999999983,2.6399999999999983,0.40740740299224854,0.0,1,exploratory,0.407
231,AaegOBP22,3.2577857291010544,2.656875195209002,0.34375,0.08855136229950096,2,exploratory,0.313
235,AaegOBP22,2.8438791236624694,2.429382356588235,0.7058823704719543,0.06841526008636659,2,confident,0.658
245,AaegOBP22,3.270667775211659,2.667807146660249,0.3199999928474426,0.08848200038433483,2,exploratory,0.292
260,AaegOBP22,3.6800000000000037,3.6800000000000037,0.3333333432674408,0.0,1,exploratory,0.333
262,AaegOBP22,3.1732489854915817,2.590230350057009,0.37931033968925476,0.08816576212307334,2,exploratory,0.346
270,AaegOBP22,3.970000000000001,3.970000000000001,0.34375,0.0,1,exploratory,0.344
271,AaegOBP22,2.640000000000004,2.6399999999999983,0.3214285671710968,8.881784197001252e-16,1,exploratory,0.321
286,AaegOBP22,2.6399999999999983,2.6399999999999983,0.30434781312942505,0.0,1,exploratory,0.304
293,AaegOBP22,3.146989109536558,2.5713442739426995,0.3499999940395355,0.08773501233778133,2,exploratory,0.319
294,AaegOBP22,2.6399999999999983,2.6399999999999983,0.3529411852359772,0.0,1,exploratory,0.353
298,AaegOBP22,2.6399999999999983,2.6399999999999983,0.30000001192092896,0.0,1,exploratory,0.3
305,AaegOBP22,3.3856692019298795,2.774674511006067,0.44117647409439087,0.08643247831713946,2,exploratory,0.403
321,AaegOBP22,3.1688185486988822,2.586982834236345,0.40740740299224854,0.08810382455701189,2,exploratory,0.372
325,AaegOBP22,3.3856692130316235,2.7746745221514404,0.46875,0.08643247799672407,2,exploratory,0.428
326,AaegOBP22,3.3856692130316235,2.7746745221514404,0.46875,0.08643247799672407,2,exploratory,0.428
327,AaegOBP22,3.3856692130316235,2.7746745221514404,0.4545454680919647,0.08643247799672407,2,exploratory,0.415
329,AaegOBP22,3.970000000000001,3.970000000000001,0.5555555820465088,0.0,1,confident,0.556
337,AaegOBP22,3.376194411078592,2.765222620751156,0.375,0.0866973456641236,2,exploratory,0.342
357,AaegOBP22,3.261570380945026,2.6600656076916187,0.3142857253551483,0.08853440636096076,2,exploratory,0.286
390,AaegOBP22,2.640000000000004,2.6399999999999983,0.3214285671710968,8.881784197001252e-16,1,exploratory,0.321
401,AaegOBP22,3.3856691856037924,2.7746744946158106,0.5357142686843872,0.08643247878833855,2,confident,0.489
402,AaegOBP22,3.970000000000001,3.970000000000001,0.3870967626571655,0.0,1,exploratory,0.387
403,AaegOBP22,3.397486777375584,2.7866328492966668,0.5600000023841858,0.08607802284258188,2,confident,0.512
404,AaegOBP22,3.6800000000000037,3.6800000000000037,0.34285715222358704,0.0,1,exploratory,0.343
434,AaegOBP22,3.166366322510525,2.5851959764465637,0.3461538553237915,0.08806768640552066,2,exploratory,0.316
435,AaegOBP22,3.970000000000001,3.970000000000001,0.46875,0.0,1,exploratory,0.469
442,AaegOBP22,3.9700000000000095,3.970000000000001,0.3055555522441864,8.881784197001252e-16,1,exploratory,0.306
448,AaegOBP22,3.261570380945026,2.6600656076916187,0.3142857253551483,0.08853440636096076,2,exploratory,0.286
449,AaegOBP22,3.411315503405808,2.800868281152121,0.4333333373069763,0.08562920263208774,2,exploratory,0.396
451,AaegOBP22,2.6399999999999983,2.6399999999999983,0.37037035822868347,0.0,1,exploratory,0.37
459,AaegOBP22,3.6800000000000037,3.6800000000000037,0.42105263471603394,0.0,1,exploratory,0.421
460,AaegOBP22,3.6800000000000037,3.6800000000000037,0.42500001192092896,0.0,1,exploratory,0.425
504,AaegOBP22,2.6399999999999983,2.6399999999999983,0.3571428656578064,0.0,1,exploratory,0.357
516,AaegOBP22,2.640000000000004,2.6399999999999983,0.3214285671710968,8.881784197001252e-16,1,exploratory,0.321
525,AaegOBP22,3.2603850693466647,2.6590644992470827,0.3235294222831726,0.08854002378968423,2,exploratory,0.295
542,AaegOBP22,1.7599999999999987,1.7599999999999987,0.30000001192092896,0.0,1,exploratory,0.3
543,AaegOBP22,3.385669204542055,2.7746745136285047,0.5769230723381042,0.08643247824174762,2,confident,0.527
545,AaegOBP22,3.9700000000000095,3.970000000000001,0.3055555522441864,8.881784197001252e-16,1,exploratory,0.306
546,AaegOBP22,3.970000000000001,3.970000000000001,0.34285715222358704,0.0,1,exploratory,0.343
547,AaegOBP22,3.970000000000001,3.970000000000001,0.6000000238418579,0.0,1,confident,0.6
548,AaegOBP22,3.3974867596494263,2.7866328312172386,0.46666666865348816,0.08607802339434378,2,exploratory,0.426
560,AaegOBP22,3.0012616298721504,2.4833807336120572,0.4583333432674408,0.08226054847216605,2,exploratory,0.421
563,AaegOBP22,1.7600000000000022,1.7599999999999987,0.3181818127632141,8.881784197001252e-16,1,exploratory,0.318
570,AaegOBP22,3.680000000000011,3.6800000000000037,0.3055555522441864,8.881784197001252e-16,1,exploratory,0.306
571,AaegOBP22,3.6800000000000037,3.6800000000000037,0.3333333432674408,0.0,1,exploratory,0.333
573,AaegOBP22,3.142688883138463,2.5683351553939695,0.5789473652839661,0.08764969284474598,2,confident,0.528
596,AaegOBP22,2.6399999999999983,2.6399999999999983,0.3333333432674408,0.0,1,exploratory,0.333
